OrderID,Customer,Amount,Status,OrderDate
O0001,Bob,478.65,shipped,2025-02-10
O0002,Alice,481.53,confirmed,2025-03-14
O0003,Diana,230.68,confirmed,2025-04-21
O0004,Diana,278.81,confirmed,2025-03-26
O0005,Charlie,299.03,pending,2025-03-22
O0006,Bob,308.72,confirmed,2025-03-10
O0007,Eve,221.16,confirmed,2025-03-22
O0008,Charlie,120.76,cancelled,2025-03-17
O0009,Charlie,269.78,shipped,2025-02-21
O0010,Eve,416.44,shipped,2025-02-14
O0011,Alice,438.24,shipped,2025-02-22
O0012,Charlie,361.27,shipped,2025-02-13
O0013,Charlie,39.78,pending,2025-01-23
O0014,Charlie,383.52,confirmed,2025-04-21
O0015,Charlie,119.23,shipped,2025-01-29
O0016,Bob,307.91,pending,2025-03-08
O0017,Bob,491.37,shipped,2025-04-08
O0018,Charlie,97.72,shipped,2025-04-01
O0019,Charlie,464.88,shipped,2025-02-15
O0020,Bob,252.46,cancelled,2025-01-23
O0021,Alice,147.31,confirmed,2025-01-30
O0022,Charlie,187.01,shipped,2025-02-24
O0023,Charlie,187.07,cancelled,2025-02-05
O0024,Eve,484.45,confirmed,2025-03-08
O0025,Bob,307.55,confirmed,2025-04-04
O0026,Charlie,286.55,cancelled,2025-02-03
O0027,Bob,295.87,pending,2025-03-21
O0028,Bob,247.81,pending,2025-01-26
O0029,Bob,25.12,pending,2025-04-04
O0030,Alice,157.44,shipped,2025-04-19
O0031,Diana,219.11,cancelled,2025-03-27
O0032,Bob,274.62,shipped,2025-02-23
O0033,Charlie,279.58,pending,2025-03-20
O0034,Bob,338.59,shipped,2025-01-27
O0035,Bob,147.83,pending,2025-03-29
O0036,Diana,286.46,pending,2025-01-30
O0037,Eve,318.62,shipped,2025-02-16
O0038,Charlie,446.5,confirmed,2025-02-14
O0039,Alice,247.34,cancelled,2025-02-02
O0040,Diana,276.48,pending,2025-03-14
O0041,Alice,495.21,cancelled,2025-02-21
O0042,Diana,267.57,confirmed,2025-02-19
O0043,Diana,259.2,confirmed,2025-02-25
O0044,Diana,174.68,confirmed,2025-03-31
O0045,Alice,370.2,confirmed,2025-02-09
O0046,Charlie,174.25,confirmed,2025-02-20
O0047,Charlie,319.98,confirmed,2025-04-01
O0048,Charlie,406.91,shipped,2025-03-27
O0049,Bob,448.25,confirmed,2025-02-26
O0050,Diana,477.09,confirmed,2025-02-12
O0051,Diana,255.48,pending,2025-04-16
O0052,Diana,177.99,shipped,2025-02-03
O0053,Bob,481.75,pending,2025-03-26
O0054,Charlie,343.65,cancelled,2025-03-20
O0055,Alice,11.93,pending,2025-04-13
O0056,Bob,323.19,cancelled,2025-04-10
O0057,Charlie,159.12,confirmed,2025-02-08
O0058,Bob,170.74,shipped,2025-03-27
O0059,Eve,138.46,confirmed,2025-02-15
O0060,Bob,406.05,cancelled,2025-04-10
O0061,Bob,313.7,confirmed,2025-03-10
O0062,Diana,494.58,confirmed,2025-03-11
O0063,Diana,305.64,cancelled,2025-04-21
O0064,Alice,60.97,confirmed,2025-04-01
O0065,Alice,402.23,pending,2025-03-05
O0066,Diana,221.1,confirmed,2025-04-05
O0067,Diana,370.67,cancelled,2025-01-23
O0068,Eve,280.18,pending,2025-02-08
O0069,Diana,199.28,confirmed,2025-02-25
O0070,Charlie,276.42,cancelled,2025-03-23
O0071,Bob,306.24,confirmed,2025-03-13
O0072,Bob,260.79,confirmed,2025-02-23
O0073,Alice,418.9,cancelled,2025-01-26
O0074,Bob,22.51,shipped,2025-02-23
O0075,Diana,312.01,pending,2025-03-14
O0076,Charlie,477.84,shipped,2025-04-15
O0077,Alice,171.65,pending,2025-03-13
O0078,Eve,363.34,shipped,2025-02-08
O0079,Charlie,417.84,pending,2025-04-09
O0080,Diana,13.12,confirmed,2025-04-12
O0081,Diana,58.9,cancelled,2025-02-16
O0082,Charlie,132.92,confirmed,2025-01-27
O0083,Alice,239.5,confirmed,2025-01-28
O0084,Eve,354.26,confirmed,2025-02-15
O0085,Eve,261.88,cancelled,2025-02-28
O0086,Bob,219.23,confirmed,2025-04-03
O0087,Alice,266.17,pending,2025-02-17
O0088,Alice,13.55,shipped,2025-03-18
O0089,Alice,450.21,confirmed,2025-03-18
O0090,Charlie,483.42,cancelled,2025-02-14
